J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;W/L;Prob_Acumulada
0.30000000000000004;0.7;0.7;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.00025004700000000015
0.30000000000000004;0.7;0.7;0.7;0.7;0.30000000000000004;0.7;0.30000000000000004;0.7;1.0;1.0;1.0;1.0;0.0;0.0
0.30000000000000004;0.7;0.7;0.7;0.7;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0013613670000000003
0.30000000000000004;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.007411886999999999
0.30000000000000004;0.7;0.7;0.7;0.7;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0013613670000000003
0.30000000000000004;0.7;0.7;0.7;0.30000000000000004;0.30000000000000004;0.7;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0013613670000000003
0.30000000000000004;0.7;0.7;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.00025004700000000015
0.30000000000000004;0.7;0.7;0.7;0.30000000000000004;0.7;0.7;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0013613670000000003
0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;0.7;0.30000000000000004;0.7;1.0;1.0;1.0;1.0;0.0;0.0
0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.00025004700000000015
0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.7;0.7;0.7;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0013613670000000003
0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.7;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.00025004700000000015
0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.7;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.00025004700000000015
0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;4.592700000000005e-05
