Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
45;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;;;;;6.0;2.0;Ganado;0,1,1,1,1,0,1;0.00%
46;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;2.0;6.0;Perdido;1,0,0,0,0,0,0;0.00%
47;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;;;;;;6.0;2.0;Ganado;1,0,0,1,1,1,1;0.00%
48;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;;;;;;6.0;2.0;Ganado;1,0,1,0,1,1,1;0.00%
49;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;;;;;;6.0;2.0;Ganado;1,0,1,1,0,1,1;0.00%
50;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;;;;;;6.0;2.0;Ganado;1,0,1,1,1,0,1;0.00%
51;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;;;;;;6.0;2.0;Ganado;1,1,0,0,1,1,1;0.00%
52;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;;;;;;6.0;2.0;Ganado;1,1,0,1,0,1,1;0.00%
53;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;;;;;;6.0;2.0;Ganado;1,1,0,1,1,0,1;0.00%
54;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;;;;;;6.0;2.0;Ganado;1,1,1,0,0,1,1;0.00%
55;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;;;;;;6.0;2.0;Ganado;1,1,1,0,1,0,1;0.00%
56;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;;;;;;6.0;2.0;Ganado;1,1,1,1,0,0,1;0.00%
57;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,0,1,1,1,0;0.0%
58;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,1,0,1,1,0;0.0%
59;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,1,1,0,1,0;0.0%
60;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,0,1,1,1,0,0;0.0%
61;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,0,0,1,1,0;0.0%
62;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,0,1,0,1,0;0.0%
63;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,0,1,1,0,0;0.0%
64;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,1,0,0,1,0;0.0%
65;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,1,0,1,0,0;0.0%
66;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,1,1,0,0,0;0.0%
67;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,0,1,1,1,1,1,1;0.19448%
68;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,0,0,1,1,0;0.0%
69;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,0,1,0,1,0;0.0%
70;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,0,1,1,0,0;0.0%
71;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,1,0,0,1,0;0.0%
72;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,1,0,1,0,0;0.0%
73;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,1,1,0,0,0;0.0%
74;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,0,1,1,1,1,1;0.03572%
75;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,1,1,0,0,0,1,0;0.0%
76;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,1,0,0,1,0,0;0.0%
77;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,1,0,1,0,0,0;0.0%
78;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,0,1,1,1,1;0.19448%
79;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,1,1,0,0,0,0;0.0%
80;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,1,0,1,1,1;0.03572%
