J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;W/L;Prob_Acumulada
0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0
0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3173865834252081
0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;1.0;1;0.056812198433112256
0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0
0.821;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;1.0;1;1.1951484361927969
0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;1.0;1;0.056812198433112256
0.821;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;1.0;1;1.1951484361927969
0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;1.0;1;0.05681219843311227
0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.821;1.0;1.0;1.0;1.0;1.0;1.0;1;1.1951484361927966
0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.821;0.821;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.821;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.821;0.821;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.821;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.04664281491358517
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.0022171981120528025
0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.046642814913585164
0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.002217198112052803
0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.046642814913585164
0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.0022171981120528025
0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.821;0.821;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.821;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.046642814913585164
0.821;0.821;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.821;0.821;0.821;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.981216866114286
0.821;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.04664281491358517
0.821;0.821;0.821;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.981216866114286
0.821;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.04664281491358518
0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1.0;0;0.0
0.821;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.046642814913585164
0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.002217198112052803
0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.046642814913585164
0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.0022171981120528025
0.821;0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.04664281491358517
0.821;0.17900000000000005;0.821;0.821;0.821;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.981216866114286
0.821;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.04664281491358518
0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.04664281491358517
0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.002217198112052803
0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;1.0;1;0.04664281491358517
0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.821;0.821;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.821;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1;0.008349063869531746
0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.821;0.821;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1;0.17563781903445727
0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1;0.008349063869531747
0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1;0.17563781903445727
0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1;0.008349063869531747
0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.821;1.0;1.0;1.0;1.0;1;0.17563781903445727
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.821;0.821;0.17900000000000005;0.17900000000000005;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.821;0.821;0.821;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;0.17900000000000005;0.821;0.17900000000000005;1.0;1.0;1.0;1.0;0;0.0
0.17900000000000005;0.17900000000000005;0.17900000000000005;0.821;0.821;0.17900000000000005;0.821;0.17900000000000005;0.821;1.0;1.0;1.0;1.0;1;0.008349063869531746
