Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence
72;0;0;1;0;1;0;1.0;0.0;0.0;;;;;3;6;Perdido;1,0,1,0,0
73;0;0;1;0;1;1;0.0;0.0;0.0;;;;;3;6;Perdido;1,1,0,0,0
74;0;0;1;0;1;1;1.0;1.0;1.0;;;;;6;3;Ganado;1,1,1,1,1
75;0;0;1;1;0;0;0.0;1.0;0.0;;;;;3;6;Perdido;0,0,0,1,0
76;0;0;1;1;0;0;1.0;0.0;0.0;;;;;3;6;Perdido;0,0,1,0,0
77;0;0;1;1;0;1;0.0;0.0;0.0;;;;;3;6;Perdido;0,1,0,0,0
78;0;0;1;1;0;1;1.0;1.0;1.0;;;;;6;3;Ganado;0,1,1,1,1
79;0;0;1;1;1;0;0.0;0.0;0.0;;;;;3;6;Perdido;1,0,0,0,0
80;0;0;1;1;1;0;1.0;1.0;1.0;;;;;6;3;Ganado;1,0,1,1,1
81;0;0;1;1;1;1;0.0;1.0;1.0;;;;;6;3;Ganado;1,1,0,1,1
82;0;0;1;1;1;1;1.0;0.0;1.0;;;;;6;3;Ganado;1,1,1,0,1
83;0;1;0;0;0;0;1.0;1.0;0.0;;;;;3;6;Perdido;0,0,1,1,0
84;0;1;0;0;0;1;0.0;1.0;0.0;;;;;3;6;Perdido;0,1,0,1,0
85;0;1;0;0;0;1;1.0;0.0;0.0;;;;;3;6;Perdido;0,1,1,0,0
86;0;1;0;0;1;0;0.0;1.0;0.0;;;;;3;6;Perdido;1,0,0,1,0
87;0;1;0;0;1;0;1.0;0.0;0.0;;;;;3;6;Perdido;1,0,1,0,0
88;0;1;0;0;1;1;0.0;0.0;0.0;;;;;3;6;Perdido;1,1,0,0,0
89;0;1;0;0;1;1;1.0;1.0;1.0;;;;;6;3;Ganado;1,1,1,1,1
90;0;1;0;1;0;0;0.0;1.0;0.0;;;;;3;6;Perdido;0,0,0,1,0
91;0;1;0;1;0;0;1.0;0.0;0.0;;;;;3;6;Perdido;0,0,1,0,0
92;0;1;0;1;0;1;0.0;0.0;0.0;;;;;3;6;Perdido;0,1,0,0,0
93;0;1;0;1;0;1;1.0;1.0;1.0;;;;;6;3;Ganado;0,1,1,1,1
94;0;1;0;1;1;0;0.0;0.0;0.0;;;;;3;6;Perdido;1,0,0,0,0
95;0;1;0;1;1;0;1.0;1.0;1.0;;;;;6;3;Ganado;1,0,1,1,1
96;0;1;0;1;1;1;0.0;1.0;1.0;;;;;6;3;Ganado;1,1,0,1,1
97;0;1;0;1;1;1;1.0;0.0;1.0;;;;;6;3;Ganado;1,1,1,0,1
98;0;1;1;0;0;0;0.0;1.0;0.0;;;;;3;6;Perdido;0,0,0,1,0
99;0;1;1;0;0;0;1.0;0.0;0.0;;;;;3;6;Perdido;0,0,1,0,0
100;0;1;1;0;0;1;0.0;0.0;0.0;;;;;3;6;Perdido;0,1,0,0,0
101;0;1;1;0;0;1;1.0;1.0;1.0;;;;;6;3;Ganado;0,1,1,1,1
102;0;1;1;0;1;0;0.0;0.0;0.0;;;;;3;6;Perdido;1,0,0,0,0
103;0;1;1;0;1;0;1.0;1.0;1.0;;;;;6;3;Ganado;1,0,1,1,1
104;0;1;1;0;1;1;0.0;1.0;1.0;;;;;6;3;Ganado;1,1,0,1,1
105;0;1;1;0;1;1;1.0;0.0;1.0;;;;;6;3;Ganado;1,1,1,0,1
106;0;1;1;1;0;0;0.0;0.0;0.0;;;;;3;6;Perdido;0,0,0,0,0
107;0;1;1;1;0;0;1.0;1.0;1.0;;;;;6;3;Ganado;0,0,1,1,1
108;0;1;1;1;0;1;0.0;1.0;1.0;;;;;6;3;Ganado;0,1,0,1,1
109;0;1;1;1;0;1;1.0;0.0;1.0;;;;;6;3;Ganado;0,1,1,0,1
110;0;1;1;1;1;0;0.0;1.0;1.0;;;;;6;3;Ganado;1,0,0,1,1
111;0;1;1;1;1;0;1.0;0.0;1.0;;;;;6;3;Ganado;1,0,1,0,1
112;0;1;1;1;1;1;0.0;0.0;1.0;;;;;6;3;Ganado;1,1,0,0,1
113;1;0;0;0;0;0;1.0;1.0;0.0;;;;;3;6;Perdido;0,0,1,1,0
114;1;0;0;0;0;1;0.0;1.0;0.0;;;;;3;6;Perdido;0,1,0,1,0
115;1;0;0;0;0;1;1.0;0.0;0.0;;;;;3;6;Perdido;0,1,1,0,0
116;1;0;0;0;1;0;0.0;1.0;0.0;;;;;3;6;Perdido;1,0,0,1,0
117;1;0;0;0;1;0;1.0;0.0;0.0;;;;;3;6;Perdido;1,0,1,0,0
118;1;0;0;0;1;1;0.0;0.0;0.0;;;;;3;6;Perdido;1,1,0,0,0
119;1;0;0;0;1;1;1.0;1.0;1.0;;;;;6;3;Ganado;1,1,1,1,1
120;1;0;0;1;0;0;0.0;1.0;0.0;;;;;3;6;Perdido;0,0,0,1,0
121;1;0;0;1;0;0;1.0;0.0;0.0;;;;;3;6;Perdido;0,0,1,0,0
122;1;0;0;1;0;1;0.0;0.0;0.0;;;;;3;6;Perdido;0,1,0,0,0
123;1;0;0;1;0;1;1.0;1.0;1.0;;;;;6;3;Ganado;0,1,1,1,1
124;1;0;0;1;1;0;0.0;0.0;0.0;;;;;3;6;Perdido;1,0,0,0,0
125;1;0;0;1;1;0;1.0;1.0;1.0;;;;;6;3;Ganado;1,0,1,1,1
126;1;0;0;1;1;1;0.0;1.0;1.0;;;;;6;3;Ganado;1,1,0,1,1
127;1;0;0;1;1;1;1.0;0.0;1.0;;;;;6;3;Ganado;1,1,1,0,1
128;1;0;1;0;0;0;0.0;1.0;0.0;;;;;3;6;Perdido;0,0,0,1,0
129;1;0;1;0;0;0;1.0;0.0;0.0;;;;;3;6;Perdido;0,0,1,0,0
130;1;0;1;0;0;1;0.0;0.0;0.0;;;;;3;6;Perdido;0,1,0,0,0
131;1;0;1;0;0;1;1.0;1.0;1.0;;;;;6;3;Ganado;0,1,1,1,1
132;1;0;1;0;1;0;0.0;0.0;0.0;;;;;3;6;Perdido;1,0,0,0,0
133;1;0;1;0;1;0;1.0;1.0;1.0;;;;;6;3;Ganado;1,0,1,1,1
134;1;0;1;0;1;1;0.0;1.0;1.0;;;;;6;3;Ganado;1,1,0,1,1
135;1;0;1;0;1;1;1.0;0.0;1.0;;;;;6;3;Ganado;1,1,1,0,1
136;1;0;1;1;0;0;0.0;0.0;0.0;;;;;3;6;Perdido;0,0,0,0,0
137;1;0;1;1;0;0;1.0;1.0;1.0;;;;;6;3;Ganado;0,0,1,1,1
138;1;0;1;1;0;1;0.0;1.0;1.0;;;;;6;3;Ganado;0,1,0,1,1
139;1;0;1;1;0;1;1.0;0.0;1.0;;;;;6;3;Ganado;0,1,1,0,1
140;1;0;1;1;1;0;0.0;1.0;1.0;;;;;6;3;Ganado;1,0,0,1,1
141;1;0;1;1;1;0;1.0;0.0;1.0;;;;;6;3;Ganado;1,0,1,0,1
142;1;0;1;1;1;1;0.0;0.0;1.0;;;;;6;3;Ganado;1,1,0,0,1
143;1;1;0;0;0;0;0.0;1.0;0.0;;;;;3;6;Perdido;0,0,0,1,0
144;1;1;0;0;0;0;1.0;0.0;0.0;;;;;3;6;Perdido;0,0,1,0,0
145;1;1;0;0;0;1;0.0;0.0;0.0;;;;;3;6;Perdido;0,1,0,0,0
146;1;1;0;0;0;1;1.0;1.0;1.0;;;;;6;3;Ganado;0,1,1,1,1
147;1;1;0;0;1;0;0.0;0.0;0.0;;;;;3;6;Perdido;1,0,0,0,0
148;1;1;0;0;1;0;1.0;1.0;1.0;;;;;6;3;Ganado;1,0,1,1,1
149;1;1;0;0;1;1;0.0;1.0;1.0;;;;;6;3;Ganado;1,1,0,1,1
150;1;1;0;0;1;1;1.0;0.0;1.0;;;;;6;3;Ganado;1,1,1,0,1
151;1;1;0;1;0;0;0.0;0.0;0.0;;;;;3;6;Perdido;0,0,0,0,0
152;1;1;0;1;0;0;1.0;1.0;1.0;;;;;6;3;Ganado;0,0,1,1,1
