Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence
275;0;1;1;0;1;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,1,1,0,1
276;0;1;1;0;1;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,0,0,0,0
277;0;1;1;0;1;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,0,0,1,1
278;0;1;1;0;1;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,0,1,0,1
279;0;1;1;0;1;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,1,0,0,1
280;0;1;1;1;0;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,0,0,1,0
281;0;1;1;1;0;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,0,1,0,0
282;0;1;1;1;0;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,0,1,1,1
283;0;1;1;1;0;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,0,1,0,0,0
284;0;1;1;1;0;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,0,1,0,1,1
285;0;1;1;1;0;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,0,1,1,0,1
286;0;1;1;1;0;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,0,0,0,0
287;0;1;1;1;0;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,0,0,1,1
288;0;1;1;1;0;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,0,1,0,1
289;0;1;1;1;0;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;0,1,1,0,0,1
290;0;1;1;1;1;0;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,0,0,0,0
291;0;1;1;1;1;0;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,0,0,1,1
292;0;1;1;1;1;0;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,0,1,0,1
293;0;1;1;1;1;0;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,0,1,0,0,1
294;0;1;1;1;1;1;0.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,0,0,0,1
295;1;0;0;0;0;0;1.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,1,1,1,0
296;1;0;0;0;0;1;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,1,0,1,1,0
297;1;0;0;0;0;1;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,1,0,1,0
298;1;0;0;0;0;1;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,1,1,0,0
299;1;0;0;0;0;1;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,1,1,1,1
300;1;0;0;0;1;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;1,0,0,1,1,0
301;1;0;0;0;1;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,1,0,1,0
302;1;0;0;0;1;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,1,1,0,0
303;1;0;0;0;1;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,1,1,1,1
304;1;0;0;0;1;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,1,0,0,1,0
305;1;0;0;0;1;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,1,0,1,0,0
306;1;0;0;0;1;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,1,0,1,1,1
307;1;0;0;0;1;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,1,0,0,0
308;1;0;0;0;1;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,1,0,1,1
309;1;0;0;0;1;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,1,1,0,1
310;1;0;0;1;0;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,0,1,1,0
311;1;0;0;1;0;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,1,0,1,0
312;1;0;0;1;0;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,1,1,0,0
313;1;0;0;1;0;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,1,1,1,1
314;1;0;0;1;0;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,0,0,1,0
315;1;0;0;1;0;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,0,1,0,0
316;1;0;0;1;0;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,0,1,1,1
317;1;0;0;1;0;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,1,0,0,0
318;1;0;0;1;0;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,1,0,1,1
319;1;0;0;1;0;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,1,1,0,1
320;1;0;0;1;1;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,0,0,1,0
321;1;0;0;1;1;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,0,1,0,0
322;1;0;0;1;1;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,0,1,1,1
323;1;0;0;1;1;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,1,0,0,0
324;1;0;0;1;1;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,1,0,1,1
325;1;0;0;1;1;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,1,1,0,1
326;1;0;0;1;1;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,0,0,0,0
327;1;0;0;1;1;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,0,0,1,1
328;1;0;0;1;1;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,0,1,0,1
329;1;0;0;1;1;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,1,0,0,1
330;1;0;1;0;0;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,0,1,1,0
331;1;0;1;0;0;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,1,0,1,0
332;1;0;1;0;0;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,1,1,0,0
333;1;0;1;0;0;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,1,1,1,1
334;1;0;1;0;0;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,0,0,1,0
335;1;0;1;0;0;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,0,1,0,0
336;1;0;1;0;0;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,0,1,1,1
337;1;0;1;0;0;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,1,0,0,0
338;1;0;1;0;0;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,1,0,1,1
339;1;0;1;0;0;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,1,1,0,1
340;1;0;1;0;1;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,0,0,1,0
341;1;0;1;0;1;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,0,1,0,0
342;1;0;1;0;1;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,0,1,1,1
343;1;0;1;0;1;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,1,0,0,0
344;1;0;1;0;1;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,1,0,1,1
345;1;0;1;0;1;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,1,1,0,1
346;1;0;1;0;1;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,0,0,0,0
347;1;0;1;0;1;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,0,0,1,1
348;1;0;1;0;1;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,0,1,0,1
349;1;0;1;0;1;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,1,0,0,1
350;1;0;1;1;0;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,0,0,1,0
351;1;0;1;1;0;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,0,1,0,0
352;1;0;1;1;0;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,0,1,1,1
353;1;0;1;1;0;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,0,1,0,0,0
354;1;0;1;1;0;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,0,1,0,1,1
355;1;0;1;1;0;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,0,1,1,0,1
356;1;0;1;1;0;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,0,0,0,0
357;1;0;1;1;0;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,0,0,1,1
358;1;0;1;1;0;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,0,1,0,1
359;1;0;1;1;0;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;0,1,1,0,0,1
360;1;0;1;1;1;0;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,0,0,0,0
361;1;0;1;1;1;0;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,0,0,1,1
362;1;0;1;1;1;0;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,0,1,0,1
363;1;0;1;1;1;0;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,0,1,0,0,1
364;1;0;1;1;1;1;0.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,0,0,0,1
365;1;1;0;0;0;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,0,1,1,0
366;1;1;0;0;0;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,1,0,1,0
367;1;1;0;0;0;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,1,1,0,0
368;1;1;0;0;0;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,1,1,1,1
369;1;1;0;0;0;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,0,0,1,0
370;1;1;0;0;0;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,0,1,0,0
371;1;1;0;0;0;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,0,1,1,1
372;1;1;0;0;0;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,1,0,0,0
373;1;1;0;0;0;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,1,0,1,1
374;1;1;0;0;0;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,1,1,0,1
375;1;1;0;0;1;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,0,0,1,0
376;1;1;0;0;1;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,0,1,0,0
377;1;1;0;0;1;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,0,1,1,1
378;1;1;0;0;1;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,1,0,0,0
379;1;1;0;0;1;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,1,0,1,1
380;1;1;0;0;1;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,1,1,0,1
381;1;1;0;0;1;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,0,0,0,0
382;1;1;0;0;1;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,0,0,1,1
383;1;1;0;0;1;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,0,1,0,1
384;1;1;0;0;1;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,1,0,0,1
385;1;1;0;1;0;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,0,0,1,0
386;1;1;0;1;0;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,0,1,0,0
387;1;1;0;1;0;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,0,1,1,1
388;1;1;0;1;0;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,0,1,0,0,0
389;1;1;0;1;0;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,0,1,0,1,1
390;1;1;0;1;0;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,0,1,1,0,1
391;1;1;0;1;0;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,0,0,0,0
392;1;1;0;1;0;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,0,0,1,1
393;1;1;0;1;0;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,0,1,0,1
394;1;1;0;1;0;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;0,1,1,0,0,1
395;1;1;0;1;1;0;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,0,0,0,0
396;1;1;0;1;1;0;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,0,0,1,1
397;1;1;0;1;1;0;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,0,1,0,1
398;1;1;0;1;1;0;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,0,1,0,0,1
399;1;1;0;1;1;1;0.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,0,0,0,1
400;1;1;1;0;0;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,0,0,1,0
401;1;1;1;0;0;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,0,1,0,0
402;1;1;1;0;0;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,0,1,1,1
403;1;1;1;0;0;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,0,1,0,0,0
404;1;1;1;0;0;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,0,1,0,1,1
405;1;1;1;0;0;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,0,1,1,0,1
406;1;1;1;0;0;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,0,0,0,0
407;1;1;1;0;0;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,0,0,1,1
408;1;1;1;0;0;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,0,1,0,1
409;1;1;1;0;0;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;0,1,1,0,0,1
410;1;1;1;0;1;0;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,0,0,0,0
411;1;1;1;0;1;0;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,0,0,1,1
412;1;1;1;0;1;0;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,0,1,0,1
413;1;1;1;0;1;0;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,0,1,0,0,1
414;1;1;1;0;1;1;0.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,0,0,0,1
415;1;1;1;1;0;0;0.0;0.0;0.0;0.0;;;;4;6;Perdido;0,0,0,0,0,0
416;1;1;1;1;0;0;0.0;0.0;1.0;1.0;;;;6;4;Ganado;0,0,0,0,1,1
417;1;1;1;1;0;0;0.0;1.0;0.0;1.0;;;;6;4;Ganado;0,0,0,1,0,1
418;1;1;1;1;0;0;1.0;0.0;0.0;1.0;;;;6;4;Ganado;0,0,1,0,0,1
419;1;1;1;1;0;1;0.0;0.0;0.0;1.0;;;;6;4;Ganado;0,1,0,0,0,1
420;1;1;1;1;1;0;0.0;0.0;0.0;1.0;;;;6;4;Ganado;1,0,0,0,0,1
421;0;0;0;0;0;1;1.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,1,1,1,1,1,0,0
422;0;0;0;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,1,1,1,1,1,1,1
423;0;0;0;0;1;0;1.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,0,1,1,1,1,0,0
424;0;0;0;0;1;0;1.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,0,1,1,1,1,1,1
425;0;0;0;0;1;1;0.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,1,0,1,1,1,0,0
426;0;0;0;0;1;1;0.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,1,0,1,1,1,1,1
427;0;0;0;0;1;1;1.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,1,1,0,1,1,0,0
428;0;0;0;0;1;1;1.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,1,1,0,1,1,1,1
429;0;0;0;0;1;1;1.0;1.0;0.0;1.0;0.0;0.0;;5;7;Perdido;1,1,1,1,0,1,0,0
430;0;0;0;0;1;1;1.0;1.0;0.0;1.0;1.0;1.0;;7;5;Ganado;1,1,1,1,0,1,1,1
431;0;0;0;0;1;1;1.0;1.0;1.0;0.0;0.0;0.0;;5;7;Perdido;1,1,1,1,1,0,0,0
432;0;0;0;0;1;1;1.0;1.0;1.0;0.0;1.0;1.0;;7;5;Ganado;1,1,1,1,1,0,1,1
433;0;0;0;1;0;0;1.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,0,1,1,1,1,0,0
434;0;0;0;1;0;0;1.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,0,1,1,1,1,1,1
435;0;0;0;1;0;1;0.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,1,0,1,1,1,0,0
436;0;0;0;1;0;1;0.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,1,0,1,1,1,1,1
437;0;0;0;1;0;1;1.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,1,1,0,1,1,0,0
438;0;0;0;1;0;1;1.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,1,1,0,1,1,1,1
439;0;0;0;1;0;1;1.0;1.0;0.0;1.0;0.0;0.0;;5;7;Perdido;0,1,1,1,0,1,0,0
440;0;0;0;1;0;1;1.0;1.0;0.0;1.0;1.0;1.0;;7;5;Ganado;0,1,1,1,0,1,1,1
441;0;0;0;1;0;1;1.0;1.0;1.0;0.0;0.0;0.0;;5;7;Perdido;0,1,1,1,1,0,0,0
442;0;0;0;1;0;1;1.0;1.0;1.0;0.0;1.0;1.0;;7;5;Ganado;0,1,1,1,1,0,1,1
443;0;0;0;1;1;0;0.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,0,0,1,1,1,0,0
444;0;0;0;1;1;0;0.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,0,0,1,1,1,1,1
445;0;0;0;1;1;0;1.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,0,1,0,1,1,0,0
446;0;0;0;1;1;0;1.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,0,1,0,1,1,1,1
447;0;0;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0;;5;7;Perdido;1,0,1,1,0,1,0,0
448;0;0;0;1;1;0;1.0;1.0;0.0;1.0;1.0;1.0;;7;5;Ganado;1,0,1,1,0,1,1,1
449;0;0;0;1;1;0;1.0;1.0;1.0;0.0;0.0;0.0;;5;7;Perdido;1,0,1,1,1,0,0,0
450;0;0;0;1;1;0;1.0;1.0;1.0;0.0;1.0;1.0;;7;5;Ganado;1,0,1,1,1,0,1,1
451;0;0;0;1;1;1;0.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,1,0,0,1,1,0,0
452;0;0;0;1;1;1;0.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,1,0,0,1,1,1,1
453;0;0;0;1;1;1;0.0;1.0;0.0;1.0;0.0;0.0;;5;7;Perdido;1,1,0,1,0,1,0,0
454;0;0;0;1;1;1;0.0;1.0;0.0;1.0;1.0;1.0;;7;5;Ganado;1,1,0,1,0,1,1,1
455;0;0;0;1;1;1;0.0;1.0;1.0;0.0;0.0;0.0;;5;7;Perdido;1,1,0,1,1,0,0,0
456;0;0;0;1;1;1;0.0;1.0;1.0;0.0;1.0;1.0;;7;5;Ganado;1,1,0,1,1,0,1,1
457;0;0;0;1;1;1;1.0;0.0;0.0;1.0;0.0;0.0;;5;7;Perdido;1,1,1,0,0,1,0,0
458;0;0;0;1;1;1;1.0;0.0;0.0;1.0;1.0;1.0;;7;5;Ganado;1,1,1,0,0,1,1,1
459;0;0;0;1;1;1;1.0;0.0;1.0;0.0;0.0;0.0;;5;7;Perdido;1,1,1,0,1,0,0,0
460;0;0;0;1;1;1;1.0;0.0;1.0;0.0;1.0;1.0;;7;5;Ganado;1,1,1,0,1,0,1,1
461;0;0;0;1;1;1;1.0;1.0;0.0;0.0;0.0;0.0;;5;7;Perdido;1,1,1,1,0,0,0,0
462;0;0;0;1;1;1;1.0;1.0;0.0;0.0;1.0;1.0;;7;5;Ganado;1,1,1,1,0,0,1,1
463;0;0;1;0;0;0;1.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,0,1,1,1,1,0,0
464;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,0,1,1,1,1,1,1
465;0;0;1;0;0;1;0.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,1,0,1,1,1,0,0
466;0;0;1;0;0;1;0.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,1,0,1,1,1,1,1
467;0;0;1;0;0;1;1.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,1,1,0,1,1,0,0
468;0;0;1;0;0;1;1.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,1,1,0,1,1,1,1
469;0;0;1;0;0;1;1.0;1.0;0.0;1.0;0.0;0.0;;5;7;Perdido;0,1,1,1,0,1,0,0
470;0;0;1;0;0;1;1.0;1.0;0.0;1.0;1.0;1.0;;7;5;Ganado;0,1,1,1,0,1,1,1
471;0;0;1;0;0;1;1.0;1.0;1.0;0.0;0.0;0.0;;5;7;Perdido;0,1,1,1,1,0,0,0
472;0;0;1;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;;7;5;Ganado;0,1,1,1,1,0,1,1
473;0;0;1;0;1;0;0.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,0,0,1,1,1,0,0
474;0;0;1;0;1;0;0.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,0,0,1,1,1,1,1
475;0;0;1;0;1;0;1.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,0,1,0,1,1,0,0
476;0;0;1;0;1;0;1.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,0,1,0,1,1,1,1
477;0;0;1;0;1;0;1.0;1.0;0.0;1.0;0.0;0.0;;5;7;Perdido;1,0,1,1,0,1,0,0
478;0;0;1;0;1;0;1.0;1.0;0.0;1.0;1.0;1.0;;7;5;Ganado;1,0,1,1,0,1,1,1
479;0;0;1;0;1;0;1.0;1.0;1.0;0.0;0.0;0.0;;5;7;Perdido;1,0,1,1,1,0,0,0
480;0;0;1;0;1;0;1.0;1.0;1.0;0.0;1.0;1.0;;7;5;Ganado;1,0,1,1,1,0,1,1
481;0;0;1;0;1;1;0.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,1,0,0,1,1,0,0
482;0;0;1;0;1;1;0.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,1,0,0,1,1,1,1
483;0;0;1;0;1;1;0.0;1.0;0.0;1.0;0.0;0.0;;5;7;Perdido;1,1,0,1,0,1,0,0
484;0;0;1;0;1;1;0.0;1.0;0.0;1.0;1.0;1.0;;7;5;Ganado;1,1,0,1,0,1,1,1
485;0;0;1;0;1;1;0.0;1.0;1.0;0.0;0.0;0.0;;5;7;Perdido;1,1,0,1,1,0,0,0
486;0;0;1;0;1;1;0.0;1.0;1.0;0.0;1.0;1.0;;7;5;Ganado;1,1,0,1,1,0,1,1
487;0;0;1;0;1;1;1.0;0.0;0.0;1.0;0.0;0.0;;5;7;Perdido;1,1,1,0,0,1,0,0
488;0;0;1;0;1;1;1.0;0.0;0.0;1.0;1.0;1.0;;7;5;Ganado;1,1,1,0,0,1,1,1
489;0;0;1;0;1;1;1.0;0.0;1.0;0.0;0.0;0.0;;5;7;Perdido;1,1,1,0,1,0,0,0
490;0;0;1;0;1;1;1.0;0.0;1.0;0.0;1.0;1.0;;7;5;Ganado;1,1,1,0,1,0,1,1
491;0;0;1;0;1;1;1.0;1.0;0.0;0.0;0.0;0.0;;5;7;Perdido;1,1,1,1,0,0,0,0
492;0;0;1;0;1;1;1.0;1.0;0.0;0.0;1.0;1.0;;7;5;Ganado;1,1,1,1,0,0,1,1
493;0;0;1;1;0;0;0.0;1.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,0,0,1,1,1,0,0
494;0;0;1;1;0;0;0.0;1.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,0,0,1,1,1,1,1
495;0;0;1;1;0;0;1.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,0,1,0,1,1,0,0
496;0;0;1;1;0;0;1.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,0,1,0,1,1,1,1
497;0;0;1;1;0;0;1.0;1.0;0.0;1.0;0.0;0.0;;5;7;Perdido;0,0,1,1,0,1,0,0
498;0;0;1;1;0;0;1.0;1.0;0.0;1.0;1.0;1.0;;7;5;Ganado;0,0,1,1,0,1,1,1
499;0;0;1;1;0;0;1.0;1.0;1.0;0.0;0.0;0.0;;5;7;Perdido;0,0,1,1,1,0,0,0
500;0;0;1;1;0;0;1.0;1.0;1.0;0.0;1.0;1.0;;7;5;Ganado;0,0,1,1,1,0,1,1
501;0;0;1;1;0;1;0.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;0,1,0,0,1,1,0,0
502;0;0;1;1;0;1;0.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;0,1,0,0,1,1,1,1
503;0;0;1;1;0;1;0.0;1.0;0.0;1.0;0.0;0.0;;5;7;Perdido;0,1,0,1,0,1,0,0
504;0;0;1;1;0;1;0.0;1.0;0.0;1.0;1.0;1.0;;7;5;Ganado;0,1,0,1,0,1,1,1
505;0;0;1;1;0;1;0.0;1.0;1.0;0.0;0.0;0.0;;5;7;Perdido;0,1,0,1,1,0,0,0
506;0;0;1;1;0;1;0.0;1.0;1.0;0.0;1.0;1.0;;7;5;Ganado;0,1,0,1,1,0,1,1
507;0;0;1;1;0;1;1.0;0.0;0.0;1.0;0.0;0.0;;5;7;Perdido;0,1,1,0,0,1,0,0
508;0;0;1;1;0;1;1.0;0.0;0.0;1.0;1.0;1.0;;7;5;Ganado;0,1,1,0,0,1,1,1
509;0;0;1;1;0;1;1.0;0.0;1.0;0.0;0.0;0.0;;5;7;Perdido;0,1,1,0,1,0,0,0
510;0;0;1;1;0;1;1.0;0.0;1.0;0.0;1.0;1.0;;7;5;Ganado;0,1,1,0,1,0,1,1
511;0;0;1;1;0;1;1.0;1.0;0.0;0.0;0.0;0.0;;5;7;Perdido;0,1,1,1,0,0,0,0
512;0;0;1;1;0;1;1.0;1.0;0.0;0.0;1.0;1.0;;7;5;Ganado;0,1,1,1,0,0,1,1
513;0;0;1;1;1;0;0.0;0.0;1.0;1.0;0.0;0.0;;5;7;Perdido;1,0,0,0,1,1,0,0
514;0;0;1;1;1;0;0.0;0.0;1.0;1.0;1.0;1.0;;7;5;Ganado;1,0,0,0,1,1,1,1
