Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status
86;0;1;0;0;1;0;0;1;0;;;;;3;6;Perdido
87;0;1;0;0;1;0;1;0;0;;;;;3;6;Perdido
88;0;1;0;0;1;1;0;0;0;;;;;3;6;Perdido
89;0;1;0;0;1;1;1;1;1;;;;;6;3;Ganado
90;0;1;0;1;0;0;0;1;0;;;;;3;6;Perdido
91;0;1;0;1;0;0;1;0;0;;;;;3;6;Perdido
92;0;1;0;1;0;1;0;0;0;;;;;3;6;Perdido
93;0;1;0;1;0;1;1;1;1;;;;;6;3;Ganado
94;0;1;0;1;1;0;0;0;0;;;;;3;6;Perdido
95;0;1;0;1;1;0;1;1;1;;;;;6;3;Ganado
96;0;1;0;1;1;1;0;1;1;;;;;6;3;Ganado
97;0;1;0;1;1;1;1;0;1;;;;;6;3;Ganado
98;0;1;1;0;0;0;0;1;0;;;;;3;6;Perdido
99;0;1;1;0;0;0;1;0;0;;;;;3;6;Perdido
100;0;1;1;0;0;1;0;0;0;;;;;3;6;Perdido
101;0;1;1;0;0;1;1;1;1;;;;;6;3;Ganado
102;0;1;1;0;1;0;0;0;0;;;;;3;6;Perdido
103;0;1;1;0;1;0;1;1;1;;;;;6;3;Ganado
104;0;1;1;0;1;1;0;1;1;;;;;6;3;Ganado
105;0;1;1;0;1;1;1;0;1;;;;;6;3;Ganado
106;0;1;1;1;0;0;0;0;0;;;;;3;6;Perdido
107;0;1;1;1;0;0;1;1;1;;;;;6;3;Ganado
108;0;1;1;1;0;1;0;1;1;;;;;6;3;Ganado
109;0;1;1;1;0;1;1;0;1;;;;;6;3;Ganado
110;0;1;1;1;1;0;0;1;1;;;;;6;3;Ganado
111;0;1;1;1;1;0;1;0;1;;;;;6;3;Ganado
112;0;1;1;1;1;1;0;0;1;;;;;6;3;Ganado
113;1;0;0;0;0;0;1;1;0;;;;;3;6;Perdido
114;1;0;0;0;0;1;0;1;0;;;;;3;6;Perdido
115;1;0;0;0;0;1;1;0;0;;;;;3;6;Perdido
116;1;0;0;0;1;0;0;1;0;;;;;3;6;Perdido
117;1;0;0;0;1;0;1;0;0;;;;;3;6;Perdido
118;1;0;0;0;1;1;0;0;0;;;;;3;6;Perdido
119;1;0;0;0;1;1;1;1;1;;;;;6;3;Ganado
120;1;0;0;1;0;0;0;1;0;;;;;3;6;Perdido
121;1;0;0;1;0;0;1;0;0;;;;;3;6;Perdido
122;1;0;0;1;0;1;0;0;0;;;;;3;6;Perdido
123;1;0;0;1;0;1;1;1;1;;;;;6;3;Ganado
124;1;0;0;1;1;0;0;0;0;;;;;3;6;Perdido
125;1;0;0;1;1;0;1;1;1;;;;;6;3;Ganado
126;1;0;0;1;1;1;0;1;1;;;;;6;3;Ganado
127;1;0;0;1;1;1;1;0;1;;;;;6;3;Ganado
128;1;0;1;0;0;0;0;1;0;;;;;3;6;Perdido
129;1;0;1;0;0;0;1;0;0;;;;;3;6;Perdido
130;1;0;1;0;0;1;0;0;0;;;;;3;6;Perdido
131;1;0;1;0;0;1;1;1;1;;;;;6;3;Ganado
132;1;0;1;0;1;0;0;0;0;;;;;3;6;Perdido
133;1;0;1;0;1;0;1;1;1;;;;;6;3;Ganado
