J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;W/L;Prob_Acumulada
0.25;0.25;0.25;0.75;0.75;0.75;0.75;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.25;0.25;0.75;0.75;0.75;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.25;0.25;0.75;0.25;0.25;0.75;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.25;0.25;0.75;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.1444091796875e-05
0.25;0.25;0.25;0.75;0.25;0.75;0.75;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.75;0.75;0.25;0.75;0.25;0.75;0.75;0.75;1.0;1.0;1.0;1.0;0.0;0.0
0.25;0.75;0.75;0.25;0.75;0.25;0.25;0.25;0.75;1.0;1.0;1.0;1.0;0.0;0.0
0.25;0.75;0.75;0.25;0.75;0.75;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.0;0.0
0.25;0.75;0.75;0.25;0.75;0.75;0.25;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.75;0.75;0.25;0.25;0.25;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.0;0.0
0.25;0.75;0.75;0.25;0.25;0.25;0.25;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.75;0.75;0.25;0.25;0.75;0.75;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.75;0.75;0.25;0.25;0.75;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.75;0.75;0.75;0.75;0.25;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.0;0.0
0.25;0.75;0.75;0.75;0.75;0.25;0.25;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.008342742919921875
0.25;0.75;0.75;0.75;0.75;0.75;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.75;0.75;0.75;0.25;0.25;0.75;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.75;0.75;0.75;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.75;0.75;0.75;0.25;0.75;0.75;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.75;0.25;0.25;0.75;0.25;0.75;0.25;0.75;1.0;1.0;1.0;1.0;0.0;0.0
0.25;0.75;0.25;0.25;0.75;0.25;0.25;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.75;0.25;0.25;0.75;0.75;0.75;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.75;0.25;0.25;0.75;0.75;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.75;0.25;0.25;0.25;0.25;0.75;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.75;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.1444091796875e-05
0.25;0.75;0.25;0.25;0.25;0.75;0.75;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.75;0.25;0.75;0.75;0.25;0.75;0.75;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.75;0.25;0.75;0.75;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
0.25;0.75;0.25;0.75;0.75;0.75;0.75;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000926971435546875
0.25;0.75;0.25;0.75;0.25;0.25;0.75;0.25;0.25;1.0;1.0;1.0;1.0;1.0;0.000102996826171875
